2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
283	Intel Xeon E-2146G	3.5 GHz	6	LGA1151-2	13324	 
284	Intel Xeon E5-2690 v2	3.0 GHz	10	LGA2011	13226	 
285	AMD Ryzen 5 2600	3.4 GHz	6	AM4	13212	 
286	Intel Xeon E5-4660 v3	2.1 GHz	14	LGA2011-3	13191	 
287	Intel Core i7-8700	3.2 GHz	6	LGA1151-2	13129	 
288	Intel Xeon D-2143IT	2.2 GHz	8	BGA2518	13107	 
289	Intel Core i7-10700T	2.0 GHz	8	LGA1200	13092	 
290	AMD Ryzen 5 1600X	3.6 GHz	6	AM4	13060	 
291	Intel Xeon E5-1680 v3	3.2 GHz	8	LGA2011-v3	13048	 
292	Intel Xeon E5-2650 v4	2.2 GHz	12	LGA2011-3	13032	 
293	Intel Xeon E5-4627 v4	2.6 GHz	10	LGA2011-3	12969	 
294	Intel Xeon E5-2685 v3	2.6 GHz	12	LGA2011-v3	12944	 
295	Intel Xeon E5-2667 v3	3.2 GHz	8	LGA2011-v3	12906	 
296	Intel Core i5-10400	2.9 GHz	6	LGA1200	12837	 
297	AMD Ryzen 3 3300X	3.8 GHz	4	AM4	12796	 
298	Intel Xeon Silver 4114	2.2 GHz	10	LGA3647	12782	 
299	Intel Xeon E5-2640 v4	2.4 GHz	10	LGA2011-3	12707	 
300	Intel Core i7-10750H	2.6 GHz	6	BGA1440	12701	 
301	AMD Ryzen 5 3500	3.6 GHz	6	AM4	12682	 
302	AMD EPYC 3201	1.5 GHz	8	SP4r2	12677	 
303	Intel Core i7-5960X	3.0 GHz	8	LGA2011-v3	12672	 
304	Intel Core i5-10400F	2.9 GHz	6	LGA1200	12670	 
305	Intel Xeon E5-2680 v2	2.8 GHz	10	LGA2011	12563	 
306	Intel Xeon E5-4657L v2	2.4 GHz	12	LGA2011	12495	 
307	Intel Core i7-10850H	2.7 GHz	6	BGA1440	12494	 
308	Intel Core i7-7800X	3.5 GHz	6	LGA2066	12482	 
309	AMD Ryzen 5 1600	3.2 GHz	6	AM4	12477	 
310	Intel Xeon W-2133	3.6 GHz	6	LGA2066	12417	 
311	Intel Xeon E-2276M	2.8 GHz	6	BGA1440	12370	 
312	Intel Xeon E5-2667 v2	3.3 GHz	8	LGA 2011	12347	 
313	Intel Xeon E5-1680 v2	3.0 GHz	8	LGA 2011	12304	 
314	Intel Xeon E5-1660 v3	3.0 GHz	8	LGA2011-v3	12208	 
315	Intel Xeon D-2141I	2.2 GHz	8	BGA2518	12177	 
316	Intel Xeon E5-2692 v2	2.2 GHz	12	LGA 2011	12119	 
317	Intel Xeon E5-2650 v3	2.3 GHz	10	LGA2011-v3	12080	 
318	AMD Ryzen 5 PRO 4500U	2.3 GHz	6	FP6	12049	 
319	Intel Xeon E5-2618L v4	2.2 GHz	10	LGA2011-3	12041	 
320	Intel Xeon E-2278GEL	2.0 GHz	8	LGA1151-2	12024	 
321	Intel Xeon E5-2687W v2	3.4 GHz	8	LGA2011	12018	 
322	Intel Core i7-9750HF	2.6 GHz	6	BGA1440	12016	 
323	Intel Xeon E-2276G	3.8 GHz	6	LGA1151-2	12010	 
324	Intel Core i7-8700B	3.2 GHz	6	BGA1440	11992	 
325	Intel Xeon E5-2675 v3	1.8 GHz	16	LGA2011-v3	11960	 
326	Intel Xeon E5-2673 v2	3.3 GHz	8	LGA 2011	11919	 
327	Intel Xeon E5-2650L v4	1.7 GHz	14	LGA2011-3	11918	 
328	Intel Xeon E5-2650L v3	1.8 GHz	12	LGA2011-v3	11904	 
329	Intel Xeon E5-2670 v2	2.5 GHz	10	LGA2011	11877	 
330	Intel Xeon E5-2649 v3	2.3 GHz	10	LGA2011-v3	11796	 
331	Intel Xeon E5-2663 v3	2.8 GHz	10	LGA2011-v3	11739	 
332	AMD Ryzen 3 4300G	3.8 GHz	4	AM4	11714	 
333	Intel Xeon E5-2630 v4	2.2 GHz	10	LGA2011-3	11694	 
334	AMD Ryzen 3 3100	3.6 GHz	4	AM4	11677	 
335	Intel Xeon D-1577	1.3 GHz	16	BGA1667	11645	 
336	Intel Xeon E5-2648L v4	1.8 GHz	14	LGA2011-3	11547	 
337	Intel Xeon E5-4669 v4	2.2 GHz	22	LGA2011-3	11523	 
338	Intel Xeon E5-4627 v3	2.6 GHz	10	LGA2011-3	11507	 
339	Intel Core i7-9850H	2.6 GHz	6	11483	 
340	AMD Ryzen 3 PRO 4350G	3.8 GHz	4	AM4	11446	 
341	Intel Xeon D-2146NT	2.3 GHz	8	BGA2518	11438	 
342	Intel Xeon E-2186M	2.9 GHz	6	BGA1440	11436	 
343	AMD Ryzen 3 PRO 4350GE	3.5 GHz	4	AM4	11417	 
344	Intel Core i7-9750H	2.6 GHz	6	BGA1440	11414	 
345	Intel Core i7-6850K	3.6 GHz	6	LGA2011-3	11343	 
346	Intel Xeon E5-1650 v4	3.6 GHz	6	LGA2011-3	11339	 
347	Intel Xeon E5-2643 v4	3.4 GHz	6	LGA2011-3	11335	 
348	Intel Core i5-10600T	2.4 GHz	6	LGA1200	11330	 
349	Intel Core i5-10400T	2.0 GHz	6	LGA1200	11312	 
350	Intel Xeon Silver 4208	2.1 GHz	8	LGA3647	11263	 
351	AMD Ryzen 5 4500U	2.3 GHz	6	FP6	11207	 
352	Intel Xeon E-2126G	3.3 GHz	6	LGA1151-2	11206	 
